title,company,location,salary,description,date_posted,apply_link
Praktikum Produkt - Data und Packaging (m/w/d),Würth Deutschland,"Künzelsau, Hohenlohekreis",Confidential,"Die Adolf Würth GmbH & Co. KG ist führender Hersteller von Befestigungstechnik für die professionelle Anwendung. Das Familienunternehmen ist das größte Einzelunternehmen der weltweit tätigen Würth-Gruppe und beschäftigt in Deutschland über 8.000 Mitarbeitende. Rund 87.000 sind bei der Würth-Gruppe beschäftigt. Hohe Eigenmotivation, große Gestaltungsfreiräume und eine starke Kollegialität zeichnen die Unternehmenskultur aus. Neugierig geworden? Jetzt informieren und Teil der Würth Familie werden…",2025-11-19T21:27:59Z,https://www.adzuna.de/land/ad/5504016229?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=1C01FACCEC63918C42EB09F79351F7AFB5B607A5
Praktikum Customer Data Strategy (m/w/d),Würth Deutschland,"Künzelsau, Hohenlohekreis",Confidential,"Die Adolf Würth GmbH & Co. KG ist führender Hersteller von Befestigungstechnik für die professionelle Anwendung. Das Familienunternehmen ist das größte Einzelunternehmen der weltweit tätigen Würth-Gruppe und beschäftigt in Deutschland über 8.000 Mitarbeitende. Rund 87.000 sind bei der Würth-Gruppe beschäftigt. Hohe Eigenmotivation, große Gestaltungsfreiräume und eine starke Kollegialität zeichnen die Unternehmenskultur aus. Neugierig geworden? Jetzt informieren und Teil der Würth Familie werden…",2025-11-07T19:44:59Z,https://www.adzuna.de/land/ad/5485953486?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=58049A08F2EB761F1D4C45F056B8C531AE8542EC
"W2-Vertretungsprofessur Allgemeine Betriebswirtschaftslehre, insb. Personalmanagement, HR Data Science und KI",Hochschule Bielefeld,"Bielefeld, Nordrhein-Westfalen",Confidential,"Die Hochschule Bielefeld (HSBI) mit ihren über 10.000 Studierenden steht für höchste Standards in Lehre, Forschung und Wissenstransfer. Die Fachbereiche Gestaltung, Campus Minden, Ingenieurwissenschaften und Mathematik, Sozialwesen, Wirtschaft und Gesundheit arbeiten interdisziplinär, forschungsbasiert und eng vernetzt. Regionale und internationale Kooperationen sowie gelebte Vielfalt und Nachhaltigkeit prägen die Arbeit an den Standorten Bielefeld, Minden und Gütersloh. Der Fachbereich Wirtsch…",2025-11-01T21:45:46Z,https://www.adzuna.de/land/ad/5476055617?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=CB8C632A79EC598D3A5BD65D849E671BD4459150
SAP Master Data Management Systembetreuer (mwd),Vesterling AG,"Dingolfing, Dingolfing-Landau (Kreis)",Confidential,"Als SAP S/4HANA MDM Systembetreuer verantworten Sie die zukünftige Stammdatenarchitektur und den Change Prozess im Rahmen eines SAP Einführungsprojektes. Unser Klient entwickelt und vertreibt Produkte für Heimwerker, Gärtner oder für die Autopflege. Vesterling zählt seit über 25 Jahren zu den führenden Personaldienstleistern im Technologiebereich. Die Schwerpunkte der Tätigkeit liegen im Recruiting von Experten bis hin zum Executive Search auf Vorstandsebene. Unsere Consultants sind erfahrene I…",2025-11-21T11:40:54Z,https://www.adzuna.de/land/ad/5507230244?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=18BF2428EBFF37455F3F14D73A882B9C569BA6E4
Senior Strategieberater (m/w/d) Data & Artificial Intelligence,INFOMOTION GmbH,"Frankfurt am Main, Hessen",Confidential,"INFOMOTION ist die Data Performance Company – mit über 600 Datenenthusiastinnen und -enthusiasten an neun Standorten und mehr als 20 Jahren Erfahrung. Bei uns bringst Du Deine Expertise gezielt ein – und entwickelst sie weiter, gemeinsam mit einem Team, das Wissen teilt, Verantwortung lebt und Zukunft gestaltet. Du möchtest Deine Erfahrung nicht nur vertiefen, sondern auch weitergeben – und mit anderen gemeinsam echte Datenwirkung erzielen? Dann werde Teil unserer Data & AI Strategy Excellence …",2025-11-20T21:36:37Z,https://www.adzuna.de/land/ad/5506066311?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=465D066BF661E61DB5831EF8DA877BCA84859684
Duales Studium Data Science & Künstliche Intelligenz B.Sc.,Atruvia AG,"Karlsruhe, Karlsruhe (Kreis)",Confidential,Wir sind der Digitalisierungspartner in der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelanges Expertenwissen in Banking und Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren von Atruvia bis hin zur App-Entwicklung. Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Gestalte die Zukunft mit KI – Starte dein Duales Studi…,2025-11-16T20:25:15Z,https://www.adzuna.de/land/ad/5499610981?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=7206ECB00F82EDCB48B3D686C04246BA902D141D
DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,WGV - Württembergische Gemeinde-Versicherung a.G.,"Stuttgart, Baden-Württemberg",Confidential,"WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2026 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…",2025-11-19T21:27:57Z,https://www.adzuna.de/land/ad/5504016108?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=9828DA095067207E083E60E18D6725E50B8E86C9
Data Platform Engineer - Schwerpunkt Data Governance & Data Quality,Enercity AG,"Hannover, Region Hannover (Kreis)",Confidential,"Aufgaben Als Data Platform Engineer mit dem Schwerpunkt Data Governance und Data Quality entwickelst du technische Lösungen zur Sicherstellung von Datenqualität und Datenintegrität innerhalb unserer Cloud-Datenplattform. Du implementierst und betreibst automatisierte Prozesse zur Datenvalidierung, -profilierung und -überwachung mit Tools wie Informatica, dbt und Snowflake. Des Weiteren bist du der/die technische Partner:in des Product Owners für Data Governance und Quality. Dazu setzt du priori…",2025-09-05T21:12:19Z,https://www.adzuna.de/land/ad/5385111815?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=4B4FA76A7D9DCA410867942FF892E521B549B4F7
Data Governance Architect (m/w/d),Liebherr-Werk Ehingen GmbH,"Ehingen (Donau), Alb-Donau-Kreis",Confidential,Die Liebherr-Werk Ehingen GmbH zählt zu den weltweit führenden Herstellern von Fahrzeugkranen. Das Programm umfasst Teleskop- und Gittermastkrane auf Mobil- und Raupenfahrwerken. Seit der Gründung wurde die Produktionsstätte und ihre Kapazität kontinuierlich erweitert. Heute werden täglich sechs Fahrzeugkrane aus Ehingen in die ganze Welt geliefert. Data Governance Architect (m/w/d) Job-ID 79699 Aufgaben Das sind Ihre Aufgaben Aufbau und Weiterentwicklung des Data-Governance-Rahmenwerks und Mas…,2025-11-07T19:56:19Z,https://www.adzuna.de/land/ad/5485971071?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=4524E8639DE828ADFF1ADCC84E4158EC71FD5CC1
Lead Data Engineer (m/w/d),Rentschler Biopharma SE,"Laupheim, Biberach (Kreis)",Confidential,"Aufgaben Profil Wir bieten Advancing medicine to save lives. Together. Thanks to many decades of experience and our passion for what we do, we make an essential contribution to the global availability of biopharmaceuticals, especially for patients with rare and serious diseases. Rentschler Biopharma SE is a leading contract development and manufacturing organization (CDMO) focused exclusively on client projects. We offer customized full-service solutions for bioprocess development and the produ…",2025-11-08T20:04:48Z,https://www.adzuna.de/land/ad/5487579922?se=BEHN6KjI8BGwB5FR_YPEZA&utm_medium=api&utm_source=df8f6824&v=A016BB22E1B0A91F7C532AEDAA37F83A53E2E684
